Precinct,County,Christy Splitt,Ken Cavagnolo,Anton D Leof,Write-in,Total Votes
2801,Multnomah,1485,423,26,10,1944
2802,Multnomah,197,68,3,0,268
2803,Multnomah,394,111,9,4,518
2804,Multnomah,1295,455,22,10,1782
2805,Multnomah,1765,421,28,11,2225
2806,Multnomah,1832,389,26,11,2258
3101,Multnomah,144,77,10,2,233
3301,Multnomah,165,67,2,4,238
3302,Multnomah,1109,359,28,11,1507
3303,Multnomah,955,256,43,6,1260
3304,Multnomah,1249,471,32,8,1760
3305,Multnomah,7,3,0,0,10
3306,Multnomah,684,222,29,8,943
3307,Multnomah,777,202,19,4,1002
3308,Multnomah,559,110,17,3,689
3401,Multnomah,92,40,2,0,134
3402,Multnomah,0,0,0,0,0
3801,Multnomah,13,7,0,0,20
3802,Multnomah,313,123,7,1,444
3803,Multnomah,1711,573,28,12,2324
3804,Multnomah,553,174,18,4,749
3805,Multnomah,1203,331,23,4,1561
4101,Multnomah,732,148,11,6,897
4102,Multnomah,585,125,15,2,727
4103,Multnomah,916,253,15,8,1192
4104,Multnomah,1271,226,20,6,1523
4105,Multnomah,1460,275,26,8,1769
4201,Multnomah,1084,141,13,1,1239
4202,Multnomah,1742,263,28,1,2034
4203,Multnomah,1448,205,23,4,1680
4204,Multnomah,1583,220,9,9,1821
4205,Multnomah,1132,140,16,6,1294
4206,Multnomah,976,140,18,5,1139
4207,Multnomah,812,156,6,3,977
4208,Multnomah,802,155,11,6,974
4301,Multnomah,693,89,19,3,804
4302,Multnomah,774,128,17,1,920
4303,Multnomah,1238,138,29,6,1411
4304,Multnomah,1481,198,27,3,1709
4305,Multnomah,1569,231,19,9,1828
4306,Multnomah,1695,347,13,3,2058
4307,Multnomah,1554,251,25,8,1838
4401,Multnomah,764,166,26,6,962
4402,Multnomah,1021,218,24,11,1274
4403,Multnomah,1264,268,35,18,1585
4404,Multnomah,1346,258,24,2,1630
4405,Multnomah,1419,202,23,9,1653
4406,Multnomah,879,264,43,7,1193
4407,Multnomah,0,0,0,0,0
4501,Multnomah,2447,404,36,12,2899
4502,Multnomah,1845,328,33,7,2213
4503,Multnomah,1421,304,29,13,1767
4505,Multnomah,406,59,11,1,477
4506,Multnomah,1430,264,29,16,1739
4601,Multnomah,1427,246,25,6,1704
4602,Multnomah,1230,202,23,14,1469
4603,Multnomah,816,155,18,7,996
4604,Multnomah,1057,204,24,10,1295
4605,Multnomah,608,156,26,17,807
4606,Multnomah,475,112,20,6,613
4607,Multnomah,413,125,21,7,566
4608,Multnomah,2,2,0,0,4
4702,Multnomah,3,1,0,0,4
4801,Multnomah,38,19,4,1,62
Clackamas,Clackamas,27,13,0,1,41
Washington,Washington,228,83,5,2,318
TOTAL,ALL,60615,12764,1211,384,74974
