precinct,sanchez_bautista,la_forte,write_in,total_votes
2801,839,1621,8,2468
2802,89,293,1,383
2803,333,318,3,654
2804,691,1624,12,2327
2805,1232,1665,13,2910
2806,1278,1555,10,2843
3101,124,175,1,300
3301,92,213,3,308
3302,708,1227,10,1945
3303,805,795,5,1605
3304,803,1534,9,2346
3305,2,8,0,10
3306,617,577,6,1200
3307,541,730,3,1274
3308,517,390,3,910
3401,76,120,1,197
3402,0,0,0,0
3801,12,10,0,22
3802,198,322,1,521
3803,1072,1714,9,2795
3804,437,524,7,968
3805,811,1132,8,1951
4101,510,658,6,1174
4102,476,480,2,958
4103,581,958,8,1547
4104,1072,917,7,1996
4105,1120,1253,10,2383
4201,900,606,1,1507
4202,1467,1134,2,2603
4203,1414,932,7,2353
4204,1265,1145,17,2427
4205,1009,618,4,1631
4206,949,611,8,1568
4207,521,695,11,1227
4208,478,751,3,1232
4301,682,455,4,1141
4302,828,508,4,1340
4303,1203,830,4,2037
4304,1099,1230,7,2336
4305,1155,1298,3,2456
4306,946,1730,5,2681
4307,1300,1136,4,2440
4401,800,499,2,1301
4402,1010,632,12,1654
4403,1200,866,15,2081
4404,1233,1015,7,2255
4405,1354,960,7,2321
4406,863,703,10,1576
4407,0,0,0,0
4501,1321,2207,9,3537
4502,1485,1368,6,2859
4503,1297,972,13,2282
4505,364,266,0,630
4506,1259,1073,16,2348
4601,1210,1079,9,2298
4602,1269,728,10,2007
4603,834,501,6,1341
4604,1074,655,13,1742
4605,664,413,20,1097
4606,528,338,5,871
4607,498,302,12,812
4608,4,3,0,7
4702,2,2,0,4
4801,37,48,0,85
clackamas,7,34,1,42
washington,77,220,2,299
