precinct,candidate_splitt,candidate_cavagnolo,candidate_leof,candidate_write_in,total_votes
2801,1786,496,29,10,2321
2802,264,82,3,0,349
2803,482,130,12,4,628
2804,1618,542,26,13,2199
2805,2256,510,37,15,2818
2806,2270,443,35,13,2761
3101,177,88,10,3,278
3301,198,87,3,4,292
3302,1314,416,32,13,1775
3303,1142,278,50,8,1478
3304,1594,577,37,8,2216
3305,7,3,0,0,10
3306,828,251,32,9,1120
3307,928,234,19,4,1185
3308,706,127,21,3,857
3401,134,54,2,0,190
3801,13,7,0,0,20
3802,347,137,11,1,496
3803,2033,641,31,16,2721
3804,680,208,18,6,912
3805,1426,389,28,5,1848
4101,885,181,15,7,1088
4102,737,141,17,3,898
4103,1126,288,16,8,1438
4104,1567,261,22,8,1858
4105,1843,318,29,10,2200
4201,1277,161,16,1,1455
4202,2100,295,31,1,2427
4203,1840,261,28,5,2134
4204,1971,266,13,9,2259
4205,1343,159,19,7,1528
4206,1175,165,20,5,1365
4207,968,174,6,5,1153
4208,952,196,13,7,1168
4301,927,120,24,3,1074
4302,1044,156,21,3,1224
4303,1638,168,35,6,1847
4304,1886,239,33,5,2163
4305,1934,274,21,11,2240
4306,2025,411,15,4,2455
4307,1905,293,28,8,2234
4401,984,195,30,6,1215
4402,1286,249,29,12,1576
4403,1587,315,43,19,1964
4404,1783,304,26,3,2116
4405,1877,246,28,10,2161
4406,1106,304,47,7,1464
4407,0,0,0,0,0
4501,2833,465,40,13,3351
4502,2252,378,39,8,2677
4503,1774,361,37,17,2189
4505,488,73,13,1,575
4506,1793,310,32,21,2156
4601,1826,291,34,9,2160
4602,1587,240,28,16,1871
4603,1027,181,20,7,1235
4604,1299,240,31,13,1583
4605,787,176,29,18,1010
4606,639,137,28,6,810
4607,577,165,22,8,772
4608,4,2,0,0,6
4702,3,1,0,0,4
4801,56,21,4,1,82
clackamas,27,13,0,1,41
washington,228,83,5,2,318
